title,artists,year,youtube_query
Will You Love Me Tomorrow,The Shirelles,1960,Will You Love Me Tomorrow The Shirelles
Wonderland By Night,Bert Kaempfert And His Orchestra,1960,Wonderland By Night Bert Kaempfert And His Orchestra
Big Bad John,Jimmy Dean,1961,Big Bad John Jimmy Dean
Michael,The Highwaymen,1961,Michael The Highwaymen
Moody River,Pat Boone,1961,Moody River Pat Boone
Peppermint Twist - Part I,Joey Dee & the Starliters,1961,Peppermint Twist - Part I Joey Dee & the Starliters
Please Mr. Postman,The Marvelettes,1961,Please Mr. Postman The Marvelettes
Pony Time,Chubby Checker,1961,Pony Time Chubby Checker
Quarter To Three,U.S. Bonds,1961,Quarter To Three U.S. Bonds
Runaway,Del Shannon,1961,Runaway Del Shannon
Running Scared,Roy Orbison,1961,Running Scared Roy Orbison
Take Good Care Of My Baby,Bobby Vee,1961,Take Good Care Of My Baby Bobby Vee
The Lion Sleeps Tonight,The Tokens,1961,The Lion Sleeps Tonight The Tokens
Tossin' And Turnin',Bobby Lewis,1961,Tossin' And Turnin' Bobby Lewis
Travelin' Man,Ricky Nelson,1961,Travelin' Man Ricky Nelson
Wooden Heart,Joe Dowell,1961,Wooden Heart Joe Dowell
Big Girls Don't Cry,The 4 Seasons,1962,Big Girls Don't Cry The 4 Seasons
Breaking Up Is Hard To Do,Neil Sedaka,1962,Breaking Up Is Hard To Do Neil Sedaka
Duke Of Earl,Gene Chandler,1962,Duke Of Earl Gene Chandler
Go Away Little Girl,Steve Lawrence,1962,Go Away Little Girl Steve Lawrence
He's A Rebel,The Crystals,1962,He's A Rebel The Crystals
Hey! Baby,Bruce Channel,1962,Hey! Baby Bruce Channel
I Can't Stop Loving You,Ray Charles,1962,I Can't Stop Loving You Ray Charles
Johnny Angel,Shelley Fabares,1962,Johnny Angel Shelley Fabares
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1962,"Monster Mash Bobby ""Boris"" Pickett And The Crypt-Kickers"
Roses Are Red (My Love),Bobby Vinton,1962,Roses Are Red (My Love) Bobby Vinton
Stranger On The Shore,Mr. Acker Bilk,1962,Stranger On The Shore Mr. Acker Bilk
Telstar,The Tornadoes,1962,Telstar The Tornadoes
The Loco-Motion,Little Eva,1962,The Loco-Motion Little Eva
The Stripper,David Rose and His Orchestra,1962,The Stripper David Rose and His Orchestra
Blue Velvet,Bobby Vinton,1963,Blue Velvet Bobby Vinton
Deep Purple,Nino Tempo & April Stevens,1963,Deep Purple Nino Tempo & April Stevens
Fingertips - Pt 2,Little Stevie Wonder,1963,Fingertips - Pt 2 Little Stevie Wonder
He's So Fine,The Chiffons,1963,He's So Fine The Chiffons
I Will Follow Him,Little Peggy March,1963,I Will Follow Him Little Peggy March
I'm Leaving It Up To You,Dale & Grace,1963,I'm Leaving It Up To You Dale & Grace
If You Wanna Be Happy,Jimmy Soul,1963,If You Wanna Be Happy Jimmy Soul
My Boyfriend's Back,The Angels,1963,My Boyfriend's Back The Angels
Our Day Will Come,Ruby And The Romantics,1963,Our Day Will Come Ruby And The Romantics
So Much In Love,The Tymes,1963,So Much In Love The Tymes
Sugar Shack,Jimmy Gilmer And The Fireballs,1963,Sugar Shack Jimmy Gilmer And The Fireballs
Sukiyaki,Kyu Sakamoto,1963,Sukiyaki Kyu Sakamoto
Walk Like A Man,The 4 Seasons,1963,Walk Like A Man The 4 Seasons
Walk Right In,The Rooftop Singers,1963,Walk Right In The Rooftop Singers
Chapel Of Love,The Dixie Cups,1964,Chapel Of Love The Dixie Cups
Come See About Me,The Supremes,1964,Come See About Me The Supremes
Downtown,Petula Clark,1964,Downtown Petula Clark
Everybody Loves Somebody,Dean Martin,1964,Everybody Loves Somebody Dean Martin
"Hello, Dolly!",Louis Armstrong And The All Stars,1964,"Hello, Dolly! Louis Armstrong And The All Stars"
I Get Around,The Beach Boys,1964,I Get Around The Beach Boys
I Want To Hold Your Hand,The Beatles,1964,I Want To Hold Your Hand The Beatles
Love Me Do,The Beatles,1964,Love Me Do The Beatles
Mr. Lonely,Bobby Vinton,1964,Mr. Lonely Bobby Vinton
My Guy,Mary Wells,1964,My Guy Mary Wells
"Oh, Pretty Woman",Roy Orbison And The Candy Men,1964,"Oh, Pretty Woman Roy Orbison And The Candy Men"
She Loves You,The Beatles,1964,She Loves You The Beatles
Where Did Our Love Go,The Supremes,1964,Where Did Our Love Go The Supremes
You've Lost That Lovin' Feelin',The Righteous Brothers,1964,You've Lost That Lovin' Feelin' The Righteous Brothers
(I Can't Get No) Satisfaction,The Rolling Stones,1965,(I Can't Get No) Satisfaction The Rolling Stones
Hang On Sloopy,The McCoys,1965,Hang On Sloopy The McCoys
"Help Me, Rhonda",The Beach Boys,1965,"Help Me, Rhonda The Beach Boys"
Help!,The Beatles,1965,Help! The Beatles
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,I Can't Help Myself (Sugar Pie Honey Bunch) Four Tops
I Got You Babe,Sonny & Cher,1965,I Got You Babe Sonny & Cher
Lightnin' Strikes,Lou Christie,1965,Lightnin' Strikes Lou Christie
Mr. Tambourine Man,The Byrds,1965,Mr. Tambourine Man The Byrds
My Girl,The Temptations,1965,My Girl The Temptations
My Love,Petula Clark,1965,My Love Petula Clark
Stop! In The Name Of Love,The Supremes,1965,Stop! In The Name Of Love The Supremes
The Sound Of Silence,Simon & Garfunkel,1965,The Sound Of Silence Simon & Garfunkel
This Diamond Ring,Gary Lewis And The Playboys,1965,This Diamond Ring Gary Lewis And The Playboys
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,1965,Turn! Turn! Turn! (To Everything There Is A Season) The Byrds
(You're My) Soul And Inspiration,The Righteous Brothers,1966,(You're My) Soul And Inspiration The Righteous Brothers
96 Tears,? (Question Mark) & The Mysterians,1966,96 Tears ? (Question Mark) & The Mysterians
Cherish,The Association,1966,Cherish The Association
Good Lovin',The Young Rascals,1966,Good Lovin' The Young Rascals
Good Vibrations,The Beach Boys,1966,Good Vibrations The Beach Boys
I'm A Believer,The Monkees,1966,I'm A Believer The Monkees
Last Train To Clarksville,The Monkees,1966,Last Train To Clarksville The Monkees
Poor Side Of Town,Johnny Rivers,1966,Poor Side Of Town Johnny Rivers
Reach Out I'll Be There,Four Tops,1966,Reach Out I'll Be There Four Tops
Strangers In The Night,Frank Sinatra,1966,Strangers In The Night Frank Sinatra
The Ballad Of The Green Berets,SSgt Barry Sadler,1966,The Ballad Of The Green Berets SSgt Barry Sadler
These Boots Are Made For Walkin',Nancy Sinatra,1966,These Boots Are Made For Walkin' Nancy Sinatra
When A Man Loves A Woman,Percy Sledge,1966,When A Man Loves A Woman Percy Sledge
Winchester Cathedral,The New Vaudeville Band,1966,Winchester Cathedral The New Vaudeville Band
Daydream Believer,The Monkees,1967,Daydream Believer The Monkees
Green Tambourine,The Lemon Pipers,1967,Green Tambourine The Lemon Pipers
Groovin',The Young Rascals,1967,Groovin' The Young Rascals
Happy Together,The Turtles,1967,Happy Together The Turtles
Incense And Peppermints,Strawberry Alarm Clock,1967,Incense And Peppermints Strawberry Alarm Clock
Judy In Disguise (With Glasses),John Fred And The Playboys,1967,Judy In Disguise (With Glasses) John Fred And The Playboys
Light My Fire,The Doors,1967,Light My Fire The Doors
Ode To Billie Joe,Bobbie Gentry,1967,Ode To Billie Joe Bobbie Gentry
Respect,Aretha Franklin,1967,Respect Aretha Franklin
